symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPJPY,SELL,LH_LL_CONTINUATION,192.61500,192.79300,192.22200,0.900,2025-05-09 12:00,2025-05-09 12:45,192.79300,SL_HIT,-17.80,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,193.07200,193.27277,192.43300,0.750,2025-05-21 16:15,2025-05-21 19:30,193.27277,SL_HIT,-20.08,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,192.46100,192.64252,192.09200,0.750,2025-05-22 13:45,2025-05-22 14:00,192.64252,SL_HIT,-18.15,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,195.94200,195.96314,195.80250,0.750,2025-06-16 09:45,2025-06-16 10:00,195.96314,SL_HIT,-2.11,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,195.13400,194.72090,194.67500,0.900,2025-06-18 09:15,2025-06-18 13:45,194.72090,TRAILED_SL,27.98,29.30,LONDON_OPEN,NEUTRAL,True,,True,1,True,51.20
GBPJPY,SELL,LH_LL_CONTINUATION,194.49800,194.49190,193.88600,0.900,2025-06-19 07:45,2025-06-19 09:15,194.46400,GIVEBACK_GUARD,8.68,14.23,LONDON_OPEN,NEUTRAL,True,,True,0,True,12.79
GBPJPY,SELL,LH_LL_CONTINUATION,197.59100,197.58745,196.93400,0.850,2025-06-30 08:15,2025-06-30 09:00,197.58745,TRAILED_SL,4.40,12.40,LONDON_OPEN,NEUTRAL,True,,True,0,True,22.25
GBPJPY,SELL,LH_LL_CONTINUATION,198.97500,199.10300,198.66300,0.850,2025-07-08 08:30,2025-07-08 08:45,199.10300,SL_HIT,-12.80,-1.00,LONDON_OPEN,BUY,True,,False,0,False,0.00
GBPJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,198.91200,199.18700,197.80161,0.950,2025-07-10 09:45,2025-07-10 10:30,199.18700,SL_HIT,-27.50,-1.00,LONDON_OPEN,BUY,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,198.92200,198.99520,198.34150,0.750,2025-07-25 12:15,2025-07-25 12:30,198.99520,SL_HIT,-7.32,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,196.99000,197.14700,196.10800,1.000,2025-08-07 13:15,2025-08-07 14:00,197.14700,SL_HIT,-15.70,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,199.28200,199.40700,198.84400,0.850,2025-08-15 14:30,2025-08-15 15:30,199.40700,SL_HIT,-12.50,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,199.33000,199.44900,198.97750,1.000,2025-08-22 12:00,2025-08-22 12:15,199.44900,SL_HIT,-11.90,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,198.75600,198.75365,198.31650,0.850,2025-09-01 08:30,2025-09-01 09:30,198.76600,GIVEBACK_GUARD,2.42,10.30,LONDON_OPEN,NEUTRAL,True,,True,0,True,30.64
