symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp1_price,pnl_pips,exit_reason,partial_taken
GBPJPY,CONTINUATION_OB,SELL,,2025-02-03 16:15:00+00:00,2025-02-03 17:20:00+00:00,190.837,191.557,190.633638,,-4.396560000000136,GIVEBACK_GUARD,True
GBPJPY,FVG_CONTINUATION,SELL,,2025-02-04 07:45:00+00:00,2025-02-04 10:00:00+00:00,192.457,192.992214,192.992214,,-53.52139999999963,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2025-02-05 13:30:00+00:00,2025-02-05 13:40:00+00:00,191.568,191.5,191.5,,-6.800000000001205,SL_HIT,False
GBPJPY,FVG_CONTINUATION,SELL,,2025-02-07 08:45:00+00:00,2025-02-07 10:45:00+00:00,188.658,189.128502,189.128502,,-47.05020000000104,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2025-02-13 07:30:00+00:00,2025-02-13 10:00:00+00:00,192.545,192.866,191.677876,,32.10000000000264,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-13 14:30:00+00:00,2025-02-13 16:15:00+00:00,191.792,191.424,192.70463999999998,,36.7999999999995,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-13 16:15:00+00:00,2025-02-13 17:15:00+00:00,191.352,192.236706,192.236706,,-88.47059999999942,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2025-02-14 13:30:00+00:00,2025-02-17 01:50:00+00:00,192.111,191.32159000000001,191.32159000000001,,-78.94099999999753,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-17 06:00:00+00:00,2025-02-18 09:55:00+00:00,190.974,191.76776999999998,191.76776999999998,,-79.3769999999995,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-18 13:30:00+00:00,2025-02-18 13:40:00+00:00,191.206,191.16649999999998,191.16649999999998,,6.3200000000006185,TRAILED_SL,True
GBPJPY,CONTINUATION_OB,SELL,,2025-02-18 14:00:00+00:00,2025-02-18 15:05:00+00:00,191.309,190.955,192.00825,,35.3999999999985,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-18 16:00:00+00:00,2025-02-19 00:30:00+00:00,191.259,192.00825,192.00825,,-74.92500000000177,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-19 06:00:00+00:00,2025-02-19 06:10:00+00:00,191.61,191.574,191.574,,5.759999999998513,TRAILED_SL,True
GBPJPY,CONTINUATION_OB,SELL,,2025-02-19 06:30:00+00:00,2025-02-19 11:45:00+00:00,191.501,191.127,192.221676,,37.39999999999952,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-19 13:30:00+00:00,2025-02-19 16:45:00+00:00,191.163,190.601,191.94813,,56.20000000000118,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-20 06:15:00+00:00,2025-02-21 03:40:00+00:00,189.259,190.23470999999998,190.23470999999998,,-97.57099999999923,SL_HIT,False
